timestamp, temp (°C)
2024-07-22 17:55:07, 23.9
2024-07-22 17:57:52, 24.2
2024-07-22 17:57:58, 24.2
2024-07-22 17:58:04, 24.3
2024-07-22 17:58:53, 24.3
2024-07-22 18:00:54, 24.5
2024-07-22 18:02:55, 24.7
2024-07-22 18:04:56, 24.9
2024-07-22 18:06:57, 25.0
2024-07-22 18:08:58, 25.0
2024-07-22 18:10:59, 25.1
2024-07-22 18:13:00, 25.4
2024-07-22 18:15:01, 25.8
2024-07-22 18:17:02, 26.0
2024-07-22 18:19:03, 26.3
2024-07-22 18:21:03, 26.3
2024-07-22 18:23:04, 26.3
2024-07-22 18:25:05, 26.4
2024-07-22 18:27:06, 26.4
2024-07-22 18:29:07, 26.3
2024-07-22 18:31:08, 26.3
2024-07-22 18:33:09, 26.3
2024-07-22 18:35:10, 26.3
2024-07-22 18:37:11, 26.3
2024-07-22 18:39:12, 26.3
2024-07-22 18:41:13, 26.2
2024-07-22 18:43:14, 26.3
2024-07-22 18:45:15, 26.2
2024-07-22 18:47:16, 26.1
2024-07-22 18:49:17, 26.1
2024-07-22 18:51:18, 26.0
2024-07-22 18:53:19, 26.0
2024-07-22 18:55:20, 25.9
2024-07-22 18:57:21, 25.9
2024-07-22 18:59:22, 25.8
2024-07-22 19:01:23, 25.8
2024-07-22 19:03:24, 25.8
2024-07-22 19:05:25, 25.7
2024-07-22 19:07:26, 25.7
2024-07-22 19:09:27, 25.7
2024-07-22 19:11:28, 25.6
2024-07-22 19:13:29, 25.6
2024-07-22 19:15:30, 25.6
2024-07-22 19:17:31, 25.5
2024-07-22 19:19:32, 25.5
2024-07-22 19:21:33, 25.5
2024-07-22 19:23:34, 25.5
2024-07-22 19:25:35, 25.5
2024-07-22 19:27:36, 25.5
2024-07-22 19:29:37, 25.5
2024-07-22 19:31:38, 25.4
2024-07-22 19:33:39, 25.5
2024-07-22 19:35:40, 25.4
2024-07-22 19:37:41, 25.3
2024-07-22 19:39:42, 25.3
2024-07-22 19:41:43, 25.2
2024-07-22 19:43:44, 25.3
2024-07-22 19:45:45, 25.2
2024-07-22 19:47:46, 25.2
2024-07-22 19:49:47, 25.2
2024-07-22 19:51:48, 25.2
2024-07-22 19:53:49, 25.3
2024-07-22 19:55:49, 25.2
2024-07-22 19:57:50, 25.2
2024-07-22 19:59:51, 25.3
2024-07-22 20:01:52, 25.2
2024-07-22 20:03:53, 25.2
2024-07-22 20:05:54, 25.2
2024-07-22 20:07:55, 25.1
2024-07-22 20:09:56, 25.1
2024-07-22 20:11:57, 25.2
2024-07-22 20:13:58, 25.1
2024-07-22 20:15:59, 25.1
2024-07-22 20:18:00, 25.1
2024-07-22 20:20:01, 25.1
2024-07-22 20:22:02, 25.1
2024-07-22 20:24:03, 25.1
2024-07-22 20:26:04, 25.1
2024-07-22 20:28:05, 25.0
2024-07-22 20:30:06, 25.0
2024-07-22 20:32:07, 24.9
2024-07-22 20:34:08, 25.0
2024-07-22 20:36:09, 25.0
2024-07-22 20:38:10, 25.0
2024-07-22 20:40:11, 25.0
2024-07-22 20:42:12, 25.0
2024-07-22 20:44:13, 24.9
2024-07-22 20:46:14, 25.0
2024-07-22 20:48:15, 25.0
2024-07-22 20:50:16, 25.0
2024-07-22 20:52:17, 25.0
2024-07-22 20:54:18, 25.0
2024-07-22 20:56:19, 25.0
2024-07-22 20:58:20, 25.0
2024-07-22 21:00:21, 25.0
2024-07-22 21:02:22, 24.9
2024-07-22 21:04:23, 25.0
2024-07-22 21:06:24, 25.0
2024-07-22 21:08:25, 25.0
2024-07-22 21:10:26, 25.0
2024-07-22 21:12:27, 25.0
2024-07-22 21:14:28, 25.0
2024-07-22 21:16:29, 25.0
2024-07-22 21:18:30, 25.0
2024-07-22 21:20:31, 25.0
2024-07-22 21:22:32, 25.0
2024-07-22 21:24:33, 24.9
2024-07-22 21:26:34, 24.9
2024-07-22 21:28:35, 24.9
2024-07-22 21:30:36, 24.9
2024-07-22 21:32:37, 24.9
2024-07-22 21:34:38, 24.9
2024-07-22 21:36:39, 24.9
2024-07-22 21:38:40, 24.9
2024-07-22 21:40:40, 24.9
2024-07-22 21:42:41, 24.8
2024-07-22 21:44:42, 24.9
2024-07-22 21:46:43, 24.9
2024-07-22 21:48:44, 25.0
2024-07-22 21:50:45, 24.9
2024-07-22 21:52:46, 24.9
2024-07-22 21:54:47, 24.9
2024-07-22 21:56:48, 24.9
2024-07-22 21:58:49, 24.9
2024-07-22 22:00:50, 24.9
2024-07-22 22:02:51, 24.9
2024-07-22 22:04:52, 24.9
2024-07-22 22:06:53, 24.9
2024-07-22 22:08:54, 24.9
2024-07-22 22:10:55, 24.9
2024-07-22 22:12:56, 24.9
2024-07-22 22:14:57, 24.9
2024-07-22 22:16:58, 24.9
2024-07-22 22:18:59, 24.9
2024-07-22 22:21:00, 24.9
2024-07-22 22:23:01, 24.9
2024-07-22 22:25:02, 24.9
2024-07-22 22:27:03, 24.8
2024-07-22 22:29:04, 24.8
2024-07-22 22:31:05, 24.9
2024-07-22 22:33:06, 24.8
2024-07-22 22:35:07, 24.8
2024-07-22 22:37:08, 24.8
2024-07-22 22:39:09, 24.8
2024-07-22 22:41:10, 24.8
2024-07-22 22:43:11, 24.9
2024-07-22 22:45:12, 24.9
